file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_04310_01366244244-cof_00610_015226,24.96,4.09,0.00,0.08,0.01,[0 1 0 0 1 0 0 1 0 0 1 1 1 0 0 1]
CycleGAN-arf_04310_01366244244-cof_06136_017423,26.54,4.04,0.00,0.08,0.06,[1 1 0 0 1 0 1 1 1 1 0 1 0 0 0 1]
CycleGAN-arf_04310_01366244244-com_09334_003392,22.78,3.85,0.00,0.08,0.02,[1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 0]
CycleGAN-arf_04310_01366244244-pem_02436_016634,29.39,4.30,0.00,0.08,0.01,[1 0 1 0 0 1 1 0 0 0 0 1 0 0 1 0]
CycleGAN-arf_04310_01366244244-pem_08784_007919,27.25,4.01,0.00,0.08,0.01,[0 0 1 0 1 1 1 1 0 1 0 1 0 1 0 0]
CycleGAN-arf_04310_01366244244-vef_09697_006923,27.97,4.35,0.00,0.09,0.01,[1 0 0 1 1 1 1 0 0 1 1 0 1 0 1 0]
CycleGAN-arf_04310_01366244244-vem_04310_016507,28.80,4.26,0.00,0.08,0.02,[1 1 1 1 1 1 1 0 0 1 0 0 1 0 1 1]
CycleGAN-arf_04310_01749565383-clf_03397_003636,30.77,4.35,0.00,0.10,0.02,[1 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1]
CycleGAN-arf_04310_01749565383-cof_02484_008954,24.78,3.61,0.00,0.09,0.02,[1 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1]
CycleGAN-arf_04310_01749565383-com_09334_015516,23.93,3.85,0.00,0.09,0.01,[0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 1]
CycleGAN-arf_04310_01749565383-pem_02436_013014,31.88,4.34,0.00,0.09,0.02,[0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0]
CycleGAN-arf_04310_01749565383-pem_08784_005352,29.46,3.99,0.00,0.08,0.01,[0 0 1 1 0 0 0 1 1 1 0 1 0 1 1 0]
CycleGAN-arf_04310_01827366655-arm_00610_013752,25.94,4.01,0.00,0.09,0.01,[0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1]
CycleGAN-arf_04310_01827366655-clf_09697_016623,25.36,3.92,0.00,0.09,0.01,[1 1 1 0 1 0 0 1 1 1 0 1 1 0 1 0]
CycleGAN-arf_04310_01827366655-com_04310_009178,23.74,3.67,0.00,0.09,0.02,[0 0 1 0 0 1 0 1 1 1 0 1 1 0 0 1]
CycleGAN-arf_04310_01827366655-pef_07508_020440,24.70,3.61,0.00,0.09,0.01,[1 1 0 0 0 1 0 1 1 0 1 0 0 0 1 1]
CycleGAN-arf_04766_00232619497-arf_02436_016770,29.62,4.30,0.00,0.08,0.01,[1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1]
CycleGAN-arf_04766_00232619497-clm_02121_007454,27.94,3.89,0.00,0.07,0.02,[0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0]
CycleGAN-arf_04766_00232619497-pef_07049_011006,28.46,4.15,0.00,0.08,0.01,[0 0 1 1 0 1 0 0 1 0 1 1 1 0 1 0]
CycleGAN-arf_04766_00232619497-vef_05223_001175,28.09,4.28,0.00,0.08,0.01,[1 1 1 0 0 0 0 1 1 1 0 1 0 1 1 1]
