file_name,ber,ber_opus_12k
CycleGAN-arm_08784_01538233676-com_09334_003471,0.00,6.25
CycleGAN-arm_08784_01538233676-vem_04310_016222,0.00,0.00
CycleGAN-arm_08784_01597502323-arm_06136_012922,0.00,0.00
CycleGAN-arm_08784_01597502323-com_04310_012498,0.00,100.00
CycleGAN-arm_08784_01597502323-pef_03397_012899,0.00,100.00
CycleGAN-arm_08784_01597502323-vem_09697_000325,0.00,0.00
CycleGAN-arm_08784_01915099099-pef_03397_004532,0.00,6.25
CycleGAN-arm_08784_02062382625-arf_02121_000798,0.00,0.00
CycleGAN-arm_08784_02062382625-arm_00610_016747,0.00,0.00
CycleGAN-arm_08784_02062382625-arm_01523_019094,0.00,100.00
CycleGAN-arm_08784_02062382625-com_09334_005292,0.00,100.00
CycleGAN-arm_08784_02062382625-vem_05223_009846,0.00,0.00
CycleGAN-arm_09697_00060747940-clf_09697_016018,0.00,0.00
CycleGAN-arm_09697_00060747940-clm_04310_014447,0.00,0.00
CycleGAN-arm_09697_00060747940-cof_00610_002497,0.00,6.25
CycleGAN-arm_09697_00060747940-cof_02484_009695,0.00,0.00
CycleGAN-arm_09697_00060747940-pem_08784_010635,0.00,0.00
CycleGAN-arm_09697_00060747940-vef_03397_019171,0.00,100.00
CycleGAN-arm_09697_00060747940-vef_05223_008099,0.00,0.00
CycleGAN-arm_09697_00060747940-vem_06136_008626,0.00,18.75
CycleGAN-arm_09697_00202151804-arf_05679_018651,0.00,0.00
